filename,URL,folder,MD5
AJP_Gifford_MRI_and_PET_CT_Properties_of_BAT_Data_Input.zip,https://github.com/gifforda/AJP_Gifford_MRI_and_PET_CT_Properties_of_BAT/releases/download/v1.0/AJP_Gifford_MRI_and_PET_CT_Properties_of_BAT_Data_Input.zip,../data_input/,69532daa389e4915461816766f561eda
AJP_Gifford_MRI_and_PET_CT_Properties_of_BAT_Data_Output.zip,https://github.com/gifforda/AJP_Gifford_MRI_and_PET_CT_Properties_of_BAT/releases/download/v1.0/AJP_Gifford_MRI_and_PET_CT_Properties_of_BAT_Data_Output.zip,../data_output/,a1ed3e0ce01afc696c22dcd3c1bb5243
